Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
392,Bobby Portis\portibo01,PF,22,CHI,52,1,21.3,5.0,10.7,.472,1.0,2.9,.349,4.0,7.8,.519,.520,1.9,2.4,.790,2.2,4.3,6.5,1.6,0.6,0.3,1.2,1.5,13.0
393,Kristaps Porzingis\porzikr01,PF,22,NYK,48,48,32.4,8.1,18.5,.439,1.9,4.8,.393,6.3,13.8,.455,.489,4.5,5.7,.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,22.7
394,Dwight Powell\poweldw01,C,26,DAL,61,8,20.4,3.2,5.3,.595,0.2,0.9,.264,3.0,4.5,.659,.617,1.5,2.1,.700,1.7,3.7,5.4,1.0,0.9,0.4,0.7,2.3,8.1
395,Norman Powell\powelno01,SG,24,TOR,51,12,15.9,2.3,5.6,.403,0.8,2.6,.291,1.5,3.0,.500,.470,0.6,0.7,.806,0.2,1.5,1.7,1.4,0.6,0.3,1.0,1.7,5.9
396,Alex Poythress\poythal01,PF,24,IND,22,0,4.2,0.5,1.0,.455,0.1,0.4,.375,0.3,0.6,.500,.523,0.0,0.0,"",0.3,0.3,0.6,0.1,0.1,0.0,0.1,0.6,1.0
397,Jacob Pullen\pulleja01,PG,28,PHI,3,0,2.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7
398,Zhou Qi\qizh01,C,22,HOU,14,0,5.4,0.3,1.7,.167,0.1,1.1,.133,0.1,0.6,.222,.208,0.5,0.7,.700,0.1,0.8,0.9,0.1,0.1,0.4,0.4,0.9,1.2
399,Ivan Rabb\rabbiv01,PF,20,MEM,20,1,11.5,2.1,3.3,.621,0.0,0.0,"",2.1,3.3,.621,.621,0.6,0.8,.800,1.2,2.2,3.4,0.7,0.2,0.2,1.0,1.2,4.7
400,Julius Randle\randlju01,C,23,LAL,60,27,24.9,5.8,10.4,.561,0.2,0.7,.225,5.7,9.7,.584,.568,3.0,4.3,.685,2.1,5.5,7.6,2.5,0.5,0.6,2.5,3.3,14.8
401,Zach Randolph\randoza01,PF,36,SAC,52,50,25.8,6.3,12.9,.486,0.9,2.4,.365,5.4,10.4,.514,.520,1.5,1.9,.794,1.8,5.2,7.0,2.1,0.8,0.2,2.1,2.1,14.9
402,J.J. Redick\redicjj01,SG,33,PHI,48,48,31.6,5.5,12.7,.438,2.6,6.7,.396,2.9,6.0,.484,.542,2.9,3.0,.938,0.2,2.5,2.7,3.3,0.6,0.1,1.5,2.0,16.6
403,Davon Reed\reedda01,SG,22,PHO,7,0,8.0,0.4,2.1,.200,0.3,1.0,.286,0.1,1.1,.125,.267,0.1,0.3,.500,0.0,0.9,0.9,0.6,0.3,0.1,0.3,0.9,1.3
404,Willie Reed\reedwi02,C,27,TOT,42,5,10.2,1.9,2.9,.669,0.0,0.0,.500,1.9,2.8,.672,.674,0.8,1.3,.582,0.8,2.0,2.9,0.2,0.2,0.5,0.5,1.3,4.6
405,Josh Richardson\richajo01,SF,24,MIA,61,61,34.1,5.0,11.1,.452,1.7,4.4,.379,3.3,6.7,.500,.527,1.5,1.8,.826,0.8,2.6,3.4,2.8,1.5,0.9,1.9,2.6,13.2
406,Malachi Richardson\richama01,SG,22,TOT,26,4,12.5,1.2,3.5,.333,0.5,1.5,.300,0.7,1.9,.360,.400,0.7,0.8,.773,0.2,1.1,1.3,0.5,0.4,0.0,0.4,1.0,3.4
407,Austin Rivers\riverau01,SG,25,LAC,40,38,33.0,5.7,13.3,.424,2.4,6.1,.385,3.3,7.2,.457,.512,1.7,2.7,.632,0.4,1.9,2.3,3.7,1.1,0.3,1.8,2.6,15.3
408,Andre Roberson\roberan03,SG,26,OKC,39,39,26.6,2.2,4.2,.537,0.2,0.9,.222,2.0,3.2,.627,.562,0.3,1.0,.316,1.9,2.8,4.7,1.2,1.2,0.9,0.8,2.3,5.0
409,Glenn Robinson\robingl02,SF,24,IND,3,0,17.3,2.0,5.0,.400,0.0,1.3,.000,2.0,3.7,.545,.400,0.7,1.0,.667,0.7,1.3,2.0,1.7,0.7,0.3,0.3,0.7,4.7
410,Rajon Rondo\rondora01,PG,31,NOP,47,45,25.2,3.3,7.3,.455,0.8,2.4,.342,2.5,4.9,.509,.510,0.3,0.5,.500,0.6,3.3,3.8,7.6,0.9,0.2,2.2,1.9,7.7
411,Derrick Rose\rosede01,PG,29,CLE,16,7,19.3,3.6,8.3,.439,0.4,1.5,.250,3.3,6.8,.481,.462,2.2,2.6,.854,0.6,1.2,1.8,1.6,0.2,0.3,1.8,0.9,9.8
412,Terrence Ross\rosste01,SG,26,ORL,22,20,26.2,3.3,8.0,.407,1.3,3.9,.329,2.0,4.2,.478,.486,1.2,1.6,.743,0.5,2.7,3.2,1.6,1.2,0.4,1.1,2.0,9.0
413,Terry Rozier\roziete01,PG,23,BOS,63,3,24.1,3.6,9.1,.398,1.7,4.5,.379,1.9,4.6,.417,.492,1.3,1.7,.771,0.8,3.7,4.5,2.5,1.0,0.2,0.9,1.5,10.3
414,Ricky Rubio\rubiori01,PG,27,UTA,57,57,29.1,4.2,10.3,.406,1.1,3.4,.326,3.1,6.9,.445,.460,2.6,3.0,.866,0.5,3.7,4.2,5.2,1.5,0.1,2.8,2.6,12.1
415,D'Angelo Russell\russeda01,PG,21,BRK,28,15,24.7,6.0,14.2,.422,1.4,4.9,.283,4.6,9.3,.496,.471,2.4,3.3,.736,0.6,3.1,3.8,4.8,0.7,0.2,3.2,2.0,15.8
416,Domantas Sabonis\sabondo01,C,21,IND,59,19,25.4,4.8,9.1,.528,0.2,0.5,.333,4.6,8.5,.540,.537,2.5,3.4,.732,2.5,5.7,8.2,2.2,0.5,0.5,2.0,2.9,12.2
417,JaKarr Sampson\sampsja02,SF,24,SAC,13,3,14.3,1.9,3.0,.641,0.2,0.4,.600,1.7,2.6,.647,.679,0.2,0.3,.750,1.0,2.7,3.7,0.5,0.3,0.7,0.4,2.2,4.3
418,Dario Saric\saricda01,PF,23,PHI,58,53,30.8,5.2,11.7,.445,1.9,5.1,.382,3.2,6.6,.495,.529,2.3,2.6,.888,2.1,4.9,6.9,2.7,0.7,0.3,1.9,2.1,14.7
