Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
108,DeMarcus Cousins\couside01,C,27,NOP,48,1737,22.8,.583,.340,.456,6.8,31.5,19.5,23.5,2.2,3.5,18.9,31.9,"",1.6,3.0,4.7,.129,"",1.9,3.4,5.3,3.2
109,Robert Covington\covinro01,PF,27,PHI,57,1833,11.6,.551,.654,.169,2.6,15.6,9.3,8.5,2.4,1.8,13.9,17.5,"",0.6,2.8,3.4,.089,"",-0.2,1.4,1.2,1.5
110,Allen Crabbe\crabbal01,SG,25,BRK,58,1708,11.0,.540,.633,.159,1.3,14.4,7.8,8.3,1.0,0.9,9.0,18.9,"",0.8,1.2,2.0,.055,"",-0.4,-1.0,-1.3,0.3
111,Torrey Craig\craigto01,SF,27,DEN,26,418,9.8,.535,.418,.319,6.7,14.5,10.6,5.5,0.9,1.2,9.6,11.9,"",0.4,0.2,0.7,.076,"",-1.5,-1.2,-2.7,-0.1
112,Jamal Crawford\crawfja01,SG,37,MIN,62,1196,14.5,.531,.431,.166,1.1,5.8,3.4,18.2,1.3,0.5,10.0,24.5,"",1.2,0.3,1.5,.061,"",0.7,-4.3,-3.6,-0.5
113,Jordan Crawford\crawfjo02,SG,29,NOP,2,37,15.8,.643,.357,.000,6.1,2.9,4.5,36.0,0.0,2.2,22.2,21.1,"",0.1,0.0,0.1,.123,"",1.2,-4.9,-3.6,0.0
114,Jae Crowder\crowdja01,SF,27,TOT,59,1518,10.2,.535,.493,.250,3.3,11.3,7.4,6.6,1.5,0.8,9.6,16.1,"",0.9,0.8,1.7,.053,"",-0.9,-1.2,-2.1,0.0
115,Dante Cunningham\cunnida01,SF,30,TOT,57,1247,9.1,.534,.464,.156,5.2,14.7,10.0,3.8,1.2,1.3,7.9,10.6,"",0.8,1.0,1.7,.066,"",-1.7,-0.1,-1.8,0.1
116,Stephen Curry\curryst01,PG,29,GSW,47,1546,27.4,.671,.583,.347,2.7,14.2,8.9,30.2,2.3,0.3,13.8,30.6,"",6.7,1.8,8.5,.264,"",9.4,-1.3,8.1,3.9
117,Troy Daniels\danietr01,SG,26,PHO,63,1232,9.8,.591,.810,.124,0.7,6.6,3.6,4.6,0.7,0.3,8.2,16.9,"",1.4,-0.1,1.3,.051,"",1.0,-3.8,-2.7,-0.2
118,Anthony Davis\davisan02,PF,24,NOP,55,2018,28.8,.616,.113,.430,8.2,24.7,16.6,11.1,1.9,4.8,8.5,29.4,"",7.0,3.1,10.1,.241,"",3.1,1.6,4.7,3.4
